profile,model_key,seed,horizon,target_family,split,top_frac,top_n,rest_n,top_mean,rest_mean,lift,lift_ci_p05,lift_ci_p50,lift_ci_p95
atr_only,hist_gradient_boosting,43,3,entry_movement,val_select,0.1,665.0,5983.0,8.495323308270677,6.141741601203409,1.3832107991332798,1.2699751471489997,1.378627241430069,1.5126677470258805
atr_only,hist_gradient_boosting,43,3,entry_movement,val_select,0.2,1330.0,5318.0,7.957864661654135,5.981848439262881,1.330335387540302,1.2549878101793024,1.3407547019910306,1.4204623321425294
atr_only,hist_gradient_boosting,43,3,entry_movement,val_eval,0.05,333.0,6313.0,13.872882882882866,10.966543640107714,1.2650187094633771,1.1211908314812573,1.257528725167667,1.4087520536547746
atr_only,hist_gradient_boosting,43,3,entry_movement,val_eval,0.1,665.0,5981.0,12.64995488721804,10.941187092459455,1.1561775500517901,1.045886212523371,1.1762360570939618,1.3138996819397268
atr_only,hist_gradient_boosting,43,3,entry_movement,val_eval,0.2,1330.0,5316.0,16.65110526315789,9.726390142964632,1.7119511985854379,1.5977972733545993,1.8603770893236773,2.1468992370392925
atr_only,hist_gradient_boosting,43,3,entry_movement,low_n_disclosure,0.05,59.0,1103.0,24.656779661017012,40.33914777878515,0.611236999755962,0.6546274583154531,0.9413086502701693,1.7809101535100458
atr_only,hist_gradient_boosting,43,3,entry_movement,low_n_disclosure,0.1,117.0,1045.0,24.564273504273515,41.2199138755981,0.5959321889514037,0.6881004995124399,0.9542694619865186,1.5097424558635277
atr_only,hist_gradient_boosting,43,3,entry_movement,low_n_disclosure,0.2,233.0,929.0,26.014120171673813,42.93599569429497,0.6058813764770893,0.7237707832515138,0.9881823463883872,1.3846308980981268
atr_only,hist_gradient_boosting,44,3,entry_movement,val_select,0.05,333.0,6315.0,9.476216216216214,6.21375296912114,1.5250390968723222,1.3210523825943399,1.4940376487530118,1.718617256384739
atr_only,hist_gradient_boosting,44,3,entry_movement,val_select,0.1,665.0,5983.0,8.53657142857143,6.137156944676584,1.3909651497467594,1.2677113976210228,1.3844103644412495,1.504395516292809
atr_only,hist_gradient_boosting,44,3,entry_movement,val_select,0.2,1330.0,5318.0,7.98987969924812,5.973841669800677,1.3374776468614893,1.2542070921336919,1.3314447822184698,1.4089560309313007
