original_rank;rule_id;profile_id;model_id;target_id;filter_id;period;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2021Q1;14;5.16242220732986;1.1133473946743024;4.636847611108903;0.289219629475397;0.0849332013854604;0.3519999999999981;0.5714285714285714;0.0;{'ML_CLOSE': 8, 'TIME': 6}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2021Q2;61;37.23754514863779;4.506132246332709;8.263748845574465;0.5365805393820505;0.1081081081081006;0.7678353658537809;0.639344262295082;0.0;{'ML_CLOSE': 40, 'TIME': 21}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2021Q3;85;22.965638623120483;14.208187022226765;1.6163665770441988;0.10302884236345547;-0.0730769230769153;5.55770086408217;0.3764705882352941;0.0;{'ML_CLOSE': 68, 'TIME': 13, 'SL': 4}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2021Q4;111;45.94988275575592;10.3510663154538;4.439144852850017;0.32071005802073976;0.0244186046511666;1.4322041677305073;0.5765765765765766;0.0;{'ML_CLOSE': 79, 'TIME': 31, 'SL': 1}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2022Q1;121;46.74561179254674;18.883838175145915;2.4754295900539582;0.23026259187934572;-0.0402777777777724;5.207183039586685;0.3884297520661157;0.0;{'ML_CLOSE': 92, 'TIME': 22, 'SL': 7}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2022Q2;131;71.6174419954968;16.671954878525327;4.295683530654537;0.4194311993661945;0.0224489795918396;1.783962264150945;0.5267175572519084;0.0;{'ML_CLOSE': 90, 'TIME': 39, 'SL': 2}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2022Q3;134;70.10725298362112;17.395025824500458;4.030304622191294;0.3933748295456765;0.08960144927535554;3.1119005328596785;0.582089552238806;0.0;{'ML_CLOSE': 86, 'TIME': 42, 'SL': 6}
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;2022Q4;103;33.20174991247754;14.126996061307484;2.3502342443071824;0.18519178496281602;-0.0041666666666628;4.851042170714452;0.47572815533980584;0.0;{'ML_CLOSE': 78, 'TIME': 23, 'SL': 2}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2021Q1;41;13.233313080441663;5.5229931313214475;2.3960401119085626;0.18805658412488324;0.0209302325581466;2.225529715762221;0.5365853658536586;0.0;{'ML_CLOSE': 24, 'TIME': 15, 'SL': 2}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2021Q2;167;100.18596171523748;21.323819117713366;4.698312303353509;0.4722283987875696;0.0743589743589946;2.510897435897377;0.5748502994011976;0.0;{'ML_CLOSE': 104, 'TIME': 55, 'SL': 8}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2021Q3;158;73.46260707594392;26.923635833928245;2.7285544764117207;0.2945504508988334;-0.05054383651945825;4.324221776758073;0.4240506329113924;0.0;{'ML_CLOSE': 113, 'TIME': 39, 'SL': 6}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2021Q4;156;53.140632536931676;18.83017311515774;2.8221000525032354;0.2199388424472688;-0.0106249999999903;4.083506367663524;0.4807692307692308;0.0;{'ML_CLOSE': 116, 'TIME': 37, 'SL': 3}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2022Q1;170;76.03070181439422;30.632533415334652;2.4820246103553822;0.2670480494062328;-0.054084321475627944;3.5703515305556692;0.4117647058823529;0.0;{'ML_CLOSE': 126, 'TIME': 32, 'SL': 12}
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;2022Q2;159;103.23322708610847;21.145408417281523;4.88206352173075;0.516275589112119;0.0646341463414597;2.3471506734006837;0.5534591194968553;0.0;{'ML_CLOSE': 100, 'TIME': 55, 'SL': 4}
